Issue Type,Issue key,Issue id,Summary,Parent,Parent key,Parent summary,Priority,Status,Labels,Labels,Labels,Created,Reporter,Reporter Id,Custom field (Story Points),Custom field (Quarter Plan),Custom field (Quarter Plan),Assignee,Assignee Id,Remaining Estimate,Time Spent,Custom field (Total Work Level Hours)
Story,AWAMWRS-9179,3488284,[HK] 2025 Dec Wrap Fee collection,3457373,AWAMWRS-9161,[HK KLO] L3 Production Support 2026 Q1,Critical,Validating,,,,1/12/26 10:14,Jimmy Chan,712020:eb4c3a28-347a-443a-a31a-a5714715b11a,1,2026.1,,Ehsan Li,62d07096a94a6f9c0eff0ed7,,,
Task,AWAMWRS-9171,3464416,Adhoc sending of KYC email DEC-JAN,2331855,AWAMWRS-7829,[HK] KYC Enhancement 2025 Follow Up Q3/4,TBD,To Do,,,,1/8/26 15:47,Dorothy Lo,62f606ecda8620d533958439,2,2026.1,,Ezekiel Quintans,712020:666725b3-c6c2-46e6-8010-4a417a554ce1,,,
Task,AWAMWRS-9158,3456239,[HK] WRS/SG release 20260122,,,,TBD,To Do,,,,1/7/26 10:38,Paddy An,60467f23116c460070d87237,2,,,Lishan Du,62ea83001323922c61e1ff04,,,
Story,AWAMWRS-9157,3456237,[HK] WRS/SG Release 20260115,3488321,AWAMWRS-9180,WRS Weekly Release 20260115,TBD,In progress,,,,1/7/26 10:37,Paddy An,60467f23116c460070d87237,2,2026.1,,Sunil Kishore Khiatani,6281c0cbbdf2f30067d1f93a,,,
Story,AWAMWRS-9121,3410718,[HK] Review Tax Self Cert Form date / Address proof CTC received date,2815667,AWAMWRS-8473,[HK] Data Discrepancies follow Up and enhancements 25/26,Critical,To Do,Enhancement,,,12/30/25 18:28,Dorothy Lo,62f606ecda8620d533958439,1,2026.1,,Stephen Wang,712020:1b3c7415-dfe6-416d-8f93-dc64e9ff7c57,,,
Sub-task,AWAMWRS-9110,3407470,[HK/Phoenix] Not allow to conduct client's maintenance if there is a pending task of that client,1691012,AWAMWRS-5770,[HK/Phoenix] All in one maintenance implementation,Critical,Validating,Enhancement,,,12/29/25 14:24,Joan Ching,712020:3df01112-e9ff-472f-96b5-b710d9dc2c77,3,2025.4,,Faye Chen,62d070fabb346bdf82faed3a,,,
Task,AWAMWRS-9105,3399127,[HK] Design a fee calculation tool incorporating the required logic to ensure accurate fee computation for corporate client accounts.,3399128,AWAMWRS-9106,[HK]WRS Business Non BoW enhancements 2026 Q1,Critical,To Do,Top3,,,12/24/25 11:08,Kenive Chan,5fc8254f78f018007680e85d,3,2026.1,,Dylan Cheng,6042517281a8400068f38991,,,
Sub-task,AWAMWRS-9073,3337550,[HK/Phoenix] Change Client Maintenance to Maintenance in One Go,1691012,AWAMWRS-5770,[HK/Phoenix] All in one maintenance implementation,Critical,Validating,,,,12/15/25 16:49,David Lam,712020:c4113417-f9d8-40e6-99a1-cf3865496505,8,2025.4,,Faye Chen,62d070fabb346bdf82faed3a,,,
Sub-task,AWAMWRS-9072,3337546,[HK/Phoenix] Adding background color for the tab name that has any changed field,1691012,AWAMWRS-5770,[HK/Phoenix] All in one maintenance implementation,High,Validating,,,,12/15/25 16:43,David Lam,712020:c4113417-f9d8-40e6-99a1-cf3865496505,3,2025.4,,Faye Chen,62d070fabb346bdf82faed3a,,,
Story,AWAMWRS-9012,3239984,[HK/Phoenix] Individual - Create the UI of Individual Client Document List Tab,1691999,AWAMWRS-5781,[HK/Phoenix] Day 2 Data Fields/Process Enhancment - Document Lists for Individual and Corp,High,Validating,,,,12/1/25 17:19,Candy Mok,61a80b67b43d5b006a6ef66b,5,2025.4,,Faye Chen,62d070fabb346bdf82faed3a,,,
Story,AWAMWRS-8988,3238855,[HK/Phoenix] Include New Client Document List into Maintenance in One Go Feature,1691999,AWAMWRS-5781,[HK/Phoenix] Day 2 Data Fields/Process Enhancment - Document Lists for Individual and Corp,High,To Do,,,,12/1/25 15:14,Candy Mok,61a80b67b43d5b006a6ef66b,3,2026.1,,Harshini Anbazhagan,712020:2bc93c6c-2a03-420c-8e96-3f81191898a1,,,
Sub-task,AWAMWRS-8987,3238806,[HK/Phoenix] Include New Client Profile into Maintenance in One Go Feature,2298859,AWAMWRS-7783,[HK/Phoenix] Day 2 Data Fields - Enhance Individual and Corporate Client Profile Tab,High,To Do,,,,12/1/25 14:58,David Lam,712020:c4113417-f9d8-40e6-99a1-cf3865496505,1,2026.1,,Faye Chen,62d070fabb346bdf82faed3a,,,
Story,AWAMWRS-8984,3232247,[HK/Phoenix] Enhance the UI of Individual and Corporate Account Tab,2406916,AWAMWRS-7996,[HK/Phoenix] Account Tab/Account Maintenance (Day 2 Data Fields/Process Enhancement ),Critical,To Do,Enhancement,,,11/28/25 15:36,Joan Ching,712020:3df01112-e9ff-472f-96b5-b710d9dc2c77,5,2026.1,,Ricky Kwan Ki Kwok,5f9f5acf81b2880078e15c88,,,
Sub-task,AWAMWRS-8957,3219970,Backend codebase walk through,3136836,AWAMWRS-8840,[HK/Phoenix] Unexpected display on the Values of Annual Income and Net Worth,High,Done,,,,11/26/25 16:40,Louis Lei,712020:4d5f11fe-a1af-4f5e-8313-baaacd68d147,2,2025.4,,Louis Lei,712020:4d5f11fe-a1af-4f5e-8313-baaacd68d147,,,
Sub-task,AWAMWRS-8867,3176512,Analyze the problem,3136836,AWAMWRS-8840,[HK/Phoenix] Unexpected display on the Values of Annual Income and Net Worth,High,Done,,,,11/21/25 15:52,Louis Lei,712020:4d5f11fe-a1af-4f5e-8313-baaacd68d147,3,2025.4,,Louis Lei,712020:4d5f11fe-a1af-4f5e-8313-baaacd68d147,,,
Sub-task,AWAMWRS-8866,3176508,Come up with a tech solution,3136836,AWAMWRS-8840,[HK/Phoenix] Unexpected display on the Values of Annual Income and Net Worth,High,Done,,,,11/21/25 15:51,Louis Lei,712020:4d5f11fe-a1af-4f5e-8313-baaacd68d147,3,2025.4,,Louis Lei,712020:4d5f11fe-a1af-4f5e-8313-baaacd68d147,,,
Story,AWAMWRS-8840,3136836,[HK/Phoenix] Unexpected display on the Values of Annual Income and Net Worth,2815667,AWAMWRS-8473,[HK] Data Discrepancies follow Up and enhancements 25/26,High,To Do,Enhancement,,,11/17/25 15:25,Candy Mok,61a80b67b43d5b006a6ef66b,8,2026.1,,Ricky Kwan Ki Kwok,5f9f5acf81b2880078e15c88,,,
Task,AWAMWRS-8750,3071003,create recon part in mongo for wre and new wre,2700325,AWAMWRS-8345,[HK] Evergreen Migration (WRE refactoring),TBD,Done,,,,11/6/25 9:52,Maximilien Garcia,632a13542eaaa5dcfa1199bf,5,2025.4,,Joey Lam,62d06e192c801edc32859a3a,,,
Story,AWAMWRS-8747,3066041,[HK] CAP: Ensure Full Legal Name match Last time First Name format (Part 3),1791668,AWAMWRS-6422,[HK/Phoenix/Poseidon] Immediate Action on data fix for the CAP,Critical,To Do,Tech,,,11/5/25 17:58,Dorothy Lo,62f606ecda8620d533958439,5,2026.1,,Ricky Kwan Ki Kwok,5f9f5acf81b2880078e15c88,,,
Sub-task,AWAMWRS-8739,3064618,[HK/Phoenix] add 100 length limit for Related PEP Name (For RCA only) (Max 100 char),2048754,AWAMWRS-7462,[HK/Phoenix] Modify red flag tab to Client Red Flag/PEP/Country Risk Individual Onboarding tab,TBD,Done,,,,11/5/25 9:27,Lishan Du,62ea83001323922c61e1ff04,,2025.3,,Lishan Du,62ea83001323922c61e1ff04,,,
Sub-task,AWAMWRS-8732,3040927,[HK/Phoenix] there are some issues on the Country Risk caused by the sequence of approval,2048754,AWAMWRS-7462,[HK/Phoenix] Modify red flag tab to Client Red Flag/PEP/Country Risk Individual Onboarding tab,TBD,Done,,,,11/3/25 14:56,Lishan Du,62ea83001323922c61e1ff04,1,2025.3,,Lishan Du,62ea83001323922c61e1ff04,,,8
Sub-task,AWAMWRS-8731,3040800,[HK/Phoenix] update Country Risk Rating in DB,2048754,AWAMWRS-7462,[HK/Phoenix] Modify red flag tab to Client Red Flag/PEP/Country Risk Individual Onboarding tab,TBD,Done,,,,11/3/25 14:03,Lishan Du,62ea83001323922c61e1ff04,1,2025.3,,Lishan Du,62ea83001323922c61e1ff04,,,8
Sub-task,AWAMWRS-8706,2992113,"[HK/Phoenix] update to wrap the ""Country Risk Attributes"" text",2048754,AWAMWRS-7462,[HK/Phoenix] Modify red flag tab to Client Red Flag/PEP/Country Risk Individual Onboarding tab,TBD,Done,,,,10/28/25 9:42,Lishan Du,62ea83001323922c61e1ff04,1,2025.3,,Lishan Du,62ea83001323922c61e1ff04,,,8
Sub-task,AWAMWRS-8661,2979890,[HK/Phoenix] update to use HK Time for checked Date,2048754,AWAMWRS-7462,[HK/Phoenix] Modify red flag tab to Client Red Flag/PEP/Country Risk Individual Onboarding tab,TBD,Done,,,,10/24/25 15:35,Lishan Du,62ea83001323922c61e1ff04,1,2025.3,,Lishan Du,62ea83001323922c61e1ff04,,,8
Story,AWAMWRS-8658,2965781,[HK/Phoenix] Individual onboarding and maintenance - Enhance the Phoenix B/E Logic  to support ,1691999,AWAMWRS-5781,[HK/Phoenix] Day 2 Data Fields/Process Enhancment - Document Lists for Individual and Corp,High,Validating,Enhancement,,,10/22/25 17:16,Candy Mok,61a80b67b43d5b006a6ef66b,5,2025.4,,Faye Chen,62d070fabb346bdf82faed3a,,,
Sub-task,AWAMWRS-8626,2946377,[HK/Phoenix] frontend country risk attributes calculate issue for corporate client,2048754,AWAMWRS-7462,[HK/Phoenix] Modify red flag tab to Client Red Flag/PEP/Country Risk Individual Onboarding tab,TBD,Done,,,,10/21/25 9:35,Lishan Du,62ea83001323922c61e1ff04,1,2025.3,,Lishan Du,62ea83001323922c61e1ff04,,,8
Sub-task,AWAMWRS-8620,2941871,[HK/Phoenix] can not update related clients' countryRiskAttributes,2048754,AWAMWRS-7462,[HK/Phoenix] Modify red flag tab to Client Red Flag/PEP/Country Risk Individual Onboarding tab,TBD,Done,,,,10/20/25 10:28,Lishan Du,62ea83001323922c61e1ff04,1,2025.3,,Lishan Du,62ea83001323922c61e1ff04,,,8
Sub-task,AWAMWRS-8619,2941868,[HK/Phoenix] corporate's place of incorporation miss to calculate countryRiskAttributes ,2048754,AWAMWRS-7462,[HK/Phoenix] Modify red flag tab to Client Red Flag/PEP/Country Risk Individual Onboarding tab,TBD,Done,,,,10/20/25 10:27,Lishan Du,62ea83001323922c61e1ff04,1,2025.3,,Lishan Du,62ea83001323922c61e1ff04,,,8
Sub-task,AWAMWRS-8618,2935512,[HK/Phoenix] Incorrect Sequence of Historical Information of Correspondence Address,2048754,AWAMWRS-7462,[HK/Phoenix] Modify red flag tab to Client Red Flag/PEP/Country Risk Individual Onboarding tab,TBD,Done,Bug,,,10/17/25 14:56,David Lam,712020:c4113417-f9d8-40e6-99a1-cf3865496505,1,2025.4,,Lishan Du,62ea83001323922c61e1ff04,,,8
Sub-task,AWAMWRS-8615,2920627,[HK/Phoenix] PEP Issue -Unexpected alert pop up message under Display mode,2048754,AWAMWRS-7462,[HK/Phoenix] Modify red flag tab to Client Red Flag/PEP/Country Risk Individual Onboarding tab,High,Done,Bug,,,10/15/25 15:13,David Lam,712020:c4113417-f9d8-40e6-99a1-cf3865496505,1,2025.4,,Lishan Du,62ea83001323922c61e1ff04,,,8
Sub-task,AWAMWRS-8614,2920609,[HK/Phoenix] PEP Issue -Country Risk Attributes and Country Risk values missing in display mode,2048754,AWAMWRS-7462,[HK/Phoenix] Modify red flag tab to Client Red Flag/PEP/Country Risk Individual Onboarding tab,High,Done,Bug,,,10/15/25 15:05,David Lam,712020:c4113417-f9d8-40e6-99a1-cf3865496505,2,2025.4,,Lishan Du,62ea83001323922c61e1ff04,,,
Story,AWAMWRS-8474,2816036,[SG] Identify potential breaks at the order or transaction level ,2758442,AWAMWRS-8367,[SG] Recon - Ops Transaction Monitoring,High,Validating,,,,9/30/25 17:35,Maximilien Garcia,632a13542eaaa5dcfa1199bf,5,2026.1,,Lotus Zhang,62d07088c4c3be001fb5a380,,,
Sub-task,AWAMWRS-8450,2804955,[HK/Phoenix] Enhance the Phoenix B/E Logic of Individual and Corporate Client Profile Tab,2298859,AWAMWRS-7783,[HK/Phoenix] Day 2 Data Fields - Enhance Individual and Corporate Client Profile Tab,High,Validating,,,,9/26/25 14:50,Candy Mok,61a80b67b43d5b006a6ef66b,3,2025.4,,Faye Chen,62d070fabb346bdf82faed3a,,,
Sub-task,AWAMWRS-8449,2804815,[HK/Phoenix] Enhance the UI of Individual and Corporate Client Profile Tab,2298859,AWAMWRS-7783,[HK/Phoenix] Day 2 Data Fields - Enhance Individual and Corporate Client Profile Tab,Critical,Validating,,,,9/26/25 14:12,Candy Mok,61a80b67b43d5b006a6ef66b,3,2025.4,,Faye Chen,62d070fabb346bdf82faed3a,,,
Sub-task,AWAMWRS-8448,2804797,[HK/Phoenix] Show Age and Vulnerable Client,2298859,AWAMWRS-7783,[HK/Phoenix] Day 2 Data Fields - Enhance Individual and Corporate Client Profile Tab,High,Validating,,,,9/26/25 14:04,Candy Mok,61a80b67b43d5b006a6ef66b,2,2025.4,,Faye Chen,62d070fabb346bdf82faed3a,,,
Task,AWAMWRS-8359,2738969,[HK/Phoenix] Revise opt-in in client design,2815667,AWAMWRS-8473,[HK] Data Discrepancies follow Up and enhancements 25/26,Critical,To Do,,,,9/18/25 17:07,Joey Lam,62d06e192c801edc32859a3a,5,2026.1,,Paddy An,60467f23116c460070d87237,,,
Task,AWAMWRS-8265,2613436,[HK] WRS Disaster Recovery Exercise,2604617,AWAMWRS-8244,[WRS] 2025-26 DR,TBD,In progress,,,,9/4/25 16:22,Ricky Kwan Ki Kwok,5f9f5acf81b2880078e15c88,5,2026.1,,Sunil Kishore Khiatani,6281c0cbbdf2f30067d1f93a,,,
Enabler,AWAMWRS-8061,2445042,[SG] Enhance transaction feed to handle Reversed status for transaction in PSPL feed,2514626,AWAMWRS-8140,[SG] SG Small Enhancements Q4 2025,Medium,To Do,SG,,,8/13/25 14:44,James Foo,712020:f094b568-b1b2-4083-b6c5-95d9bc7b0e6e,3,2025.4,,Grant Chen,712020:953f9f48-c0e2-4e36-ba3d-1095ccaf30c8,,,
Story,AWAMWRS-7993,2406890,[HK/Phoenix] Implement Document List Read-Only Mode with Historical Data Access,1691999,AWAMWRS-5781,[HK/Phoenix] Day 2 Data Fields/Process Enhancment - Document Lists for Individual and Corp,Critical,Validating,,,,8/6/25 16:04,David Lam,712020:c4113417-f9d8-40e6-99a1-cf3865496505,1,2026.1,,Faye Chen,62d070fabb346bdf82faed3a,,,
Story,AWAMWRS-7960,2392751,[HK/Reporting] Operation Reporting (Country Risk Changes) (Internal Reporting Day 2),1836753,AWAMWRS-6754,[HK/Phoenix] Day 2 - Ops Reporting and Workflow (2025 Part 1),TBD,To Do,InternalReporting,Reporting,,8/5/25 16:56,Dorothy Lo,62f606ecda8620d533958439,3,2026.1,,Stephen Wang,712020:1b3c7415-dfe6-416d-8f93-dc64e9ff7c57,,,
