Date,Sprint End Date,Remaining Estimate,Remaining Tasks
2026-01-12,2026-01-23,1652400.0,80
2026-01-15,2026-01-23,5094900.0,72
2026-01-19,2026-01-23,3852000.0,54
2026-01-20,2026-01-23,3034800.0,53
2026-01-21,2026-01-23,2631600.0,52
2026-01-26,2026-02-06,5151600.0,70
2026-01-26,2026-01-26,5151600.0,70
2026-01-27,2026-02-06,4568400.0,68
2026-01-30,2026-02-06,4062600.0,63
2026-02-02,2026-02-06,2824200.0,58
2026-02-05,2026-02-06,1731600.0,44
2026-02-06,2026-02-06,1173600.0,39
2026-02-19,2026-02-27,3682800.0,73
2026-02-20,2026-02-27,3326400.0,69
