Issue Type,Issue key,Issue id,Summary,Parent,Parent key,Parent summary,Priority,Status,Custom field (Story Points),Assignee,Assignee Id,Remaining Estimate,Time Spent,Sprint,Sprint.1,Sprint.2,Sprint.3,Sprint.4,Sprint.5,Sprint.6,Sprint.7,Sprint.8,Sprint.9,Sprint.10,Sprint.11,SP (Days),Rem (Secs),Spent (Secs),Rem (Days),Spent (Days),Calculated Rem (Days),Calculated Spent (Days)
Task,AWAMWRS-9414,3673856,[SG] Enhance ifund portfolio api for account total Pnl,2769319.0,AWAMWRS-8390,[SG] SG Small Enhancements Q1 2026,Critical,In progress,3.0,Dylan,6042517281a8400068f38991,61200.0,25200.0,02 WRS.Sprint.2026.Feb.6,,,,,,,,,,,,3.0,61200.0,25200.0,2.125,0.875,2.125,0.875
Task,AWAMWRS-9264,3548126,[HK] Enhance WRE transaction-fee api to allow corporate account,3488197.0,AWAMWRS-9176,"[HK] Handling of Corporate Clients' all transaction including subscription, cash withdrawals, redemptions, and switching",Critical,Validating,5.0,Dylan,6042517281a8400068f38991,57600.0,57600.0,01 WRS.Sprint.2026.Jan.23,02 WRS.Sprint.2026.Feb.6,,,,,,,,,,,5.0,57600.0,57600.0,2.0,2.0,2.0,2.0
Task,AWAMWRS-9265,3548130,[HK] Enhance WRE VC api for corporate client,3488197.0,AWAMWRS-9176,"[HK] Handling of Corporate Clients' all transaction including subscription, cash withdrawals, redemptions, and switching",Critical,Validating,3.0,Dylan,6042517281a8400068f38991,46800.0,18000.0,01 WRS.Sprint.2026.Jan.23,02 WRS.Sprint.2026.Feb.6,,,,,,,,,,,3.0,46800.0,18000.0,1.625,0.625,1.625,0.625
Task,AWAMWRS-9315,3581514,[HK] Enquiry the source of date column in dividend note and transaction,3457373.0,AWAMWRS-9161,[HK KLO] L3 Production Support 2026 Q1,Critical,Validating,2.0,Dylan,6042517281a8400068f38991,28800.0,46800.0,01 WRS.Sprint.2026.Jan.23,02 WRS.Sprint.2026.Feb.6,,,,,,,,,,,2.0,28800.0,46800.0,1.0,1.625,1.0,1.625
Task,AWAMWRS-9415,3678504,[SG] Support new agent creation,3399132.0,GWAMAWAM-12943,[SG] 2026 Q1 Production Support,Critical,Done,1.0,Dylan,6042517281a8400068f38991,0.0,28800.0,02 WRS.Sprint.2026.Feb.6,,,,,,,,,,,,1.0,21600.0,7200.0,0.75,0.25,0.0,1.0
Task,AWAMWRS-9217,3518587,[HK] KYC emails - KT on KYC emails automation,3457373.0,AWAMWRS-9161,[HK KLO] L3 Production Support 2026 Q1,High,Done,2.0,Ehsan,62d07096a94a6f9c0eff0ed7,0.0,57600.0,01 WRS.Sprint.2026.Jan.23,02 WRS.Sprint.2026.Feb.6,,,,,,,,,,,2.0,10800.0,36000.0,0.375,1.25,0.0,2.0
Task,AWAMWRS-9219,3523626,"[HK] Data clean up for ID CTC received date, Address CTC received date, Self Cert Form Received date",1691999.0,AWAMWRS-5781,[HK/Phoenix] Day 2 Data Fields/Process Enhancement - Document Lists and Client Profile for Individual and Corp,High,Validating,3.0,Ehsan,62d07096a94a6f9c0eff0ed7,7200.0,43200.0,02 WRS.Sprint.2026.Feb.6,,,,,,,,,,,,3.0,7200.0,43200.0,0.25,1.5,0.25,1.5
Task,AWAMWRS-9406,3651392,[HK] Address CTC received date mismatch/missing,2815667.0,AWAMWRS-8473,[HK] Data Discrepancies follow Up and enhancements 25/26,Critical,Validating,2.0,Ehsan,62d07096a94a6f9c0eff0ed7,3600.0,43200.0,02 WRS.Sprint.2026.Feb.6,,,,,,,,,,,,2.0,3600.0,43200.0,0.125,1.5,0.125,1.5
Story,AWAMWRS-9122,3423987,[HK/data] Review Self-Cert form date,2815667.0,AWAMWRS-8473,[HK] Data Discrepancies follow Up and enhancements 25/26,High,Done,5.0,Ehsan,62d07096a94a6f9c0eff0ed7,0.0,144000.0,26 WRS.Sprint.2025.Dec.30,01 WRS.Sprint.2026.Jan.23,02 WRS.Sprint.2026.Feb.6,,,,,,,,,,5.0,3600.0,64800.0,0.125,2.25,0.0,5.0
Story,AWAMWRS-8788,3097347,[HK/data] Review tax remarks -part2,2815667.0,AWAMWRS-8473,[HK] Data Discrepancies follow Up and enhancements 25/26,Critical,Done,3.0,Ehsan,62d07096a94a6f9c0eff0ed7,0.0,86400.0,25 WRS.Sprint.2025.Dec.16,26 WRS.Sprint.2025.Dec.30,01 WRS.Sprint.2026.Jan.23,02 WRS.Sprint.2026.Feb.6,,,,,,,,,3.0,0.0,36000.0,0.0,1.25,0.0,3.0
Task,AWAMWRS-9171,3464416,[HK] Missing Status Change Notifications for Accounts After EEE Fund Termination Corporate Action,3530385.0,AWAMWRS-9224,[HK] KYC Enhancement 2026 Follow Up Q1,TBD,Validating,2.0,Ezekiel,712020:666725b3-c6c2-46e6-8010-4a417a554ce1,28800.0,57600.0,01 WRS.Sprint.2026.Jan.23,02 WRS.Sprint.2026.Feb.6,,,,,,,,,,,2.0,28800.0,57600.0,1.0,2.0,1.0,2.0
